NAME,SALARY,POS,AGE,MIN%,USG%,TO%,FT%,2P%,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Steven Adams,27528090 ,3,27.07,55.6,17.3,14.4,0.582,0.594,0.333,0.593,0.604,10.9,9.3,19.2,2.3,13.2,0.81,1.06,1.51,9.2,122,101.9
T.J. McConnell,3500000 ,1,28.39,38.9,17.5,18.9,0.833,0.524,0.294,0.521,0.539,6.5,2.7,7.9,5,37.6,0.8,0.15,1.41,9.5,112.2,106.4
T.J. Warren,11750000 ,2,26.94,68.5,23.4,7.3,0.819,0.575,0.403,0.581,0.61,19.8,4.2,6.9,1.5,7.1,1.16,0.51,1.28,6.1,115.9,104.1
Talen Horton-Tucker,1517981 ,1,19.72,28.2,19.6,15.9,0.5,0.588,0.308,0.533,0.535,5.7,1.2,4.7,1,10.5,1.33,0.17,1,5.6,97.1,95.7
Taurean Prince,13942308 ,2,26.4,60.5,20.4,14,0.798,0.429,0.339,0.475,0.497,12.1,6,10.6,1.8,9.2,0.89,0.39,1.98,7,93.5,102.7
Terance Mann,1517984 ,1,23.82,18.4,12.6,16.5,0.667,0.508,0.35,0.513,0.545,2.4,1.3,7.9,1.3,19.3,0.27,0.12,0.44,7.2,113.3,98.3
Terence Davis,1517981 ,1,23.25,35,19,14.1,0.864,0.541,0.388,0.564,0.588,7.5,3.3,10.3,1.6,14.2,0.54,0.19,1.06,8.1,110.4,98.1
Terrance Ferguson,3944013 ,1,22.25,46.8,9.1,11.9,0.75,0.558,0.292,0.466,0.481,3.9,1.3,3.3,0.9,5.3,0.46,0.3,0.55,2.9,97.1,102.3
Terrence Ross,13500000 ,1,29.52,57,22.8,7,0.853,0.48,0.351,0.508,0.548,14.7,3.2,6.3,1.2,6.8,1.12,0.35,1.01,5.6,106.4,107.1
Terry Rozier,18900000 ,1,26.41,71.6,23.8,12.1,0.869,0.436,0.405,0.513,0.552,18,4.4,7,4.1,20.3,0.95,0.16,2.24,8,108.5,110.8
Thaddeus Young,13545000 ,2,32.15,51.8,19.7,13.9,0.583,0.501,0.354,0.512,0.52,10.3,4.9,10.9,1.8,11.3,1.44,0.36,1.59,7.2,100.7,104.4
Thanasis Antetokounmpo,1701593 ,2,28.08,13.4,21.6,17.8,0.412,0.632,0,0.5,0.496,2.8,1.2,9.2,0.8,16.4,0.35,0.1,0.6,8.7,97.9,91.9
Thomas Bryant,8333333 ,3,23.04,51.9,18.9,10.2,0.739,0.63,0.407,0.626,0.649,13.2,7.2,15.8,1.8,11.1,0.54,1.07,1.15,8.9,126,108.6
Tim Hardaway Jr.,18975000 ,1,28.41,61.4,21.1,6.7,0.819,0.485,0.398,0.55,0.581,15.8,3.3,5.8,1.9,9.7,0.61,0.07,0.97,6.3,115.4,110
Tobias Harris,33517241 ,2,28.08,71.4,23.9,7.6,0.805,0.517,0.367,0.527,0.556,19.6,6.9,11.1,3.2,14.6,0.72,0.56,1.44,8.8,112.3,105.9
Tony Bradley,3542060 ,3,22.52,23.8,15.8,12.5,0.652,0.661,1,0.675,0.681,4.9,4.6,22.2,0.4,5.4,0.24,0.57,0.52,7.3,134.7,91.9
Tony Snell,12178571 ,1,28.76,57.9,11.4,7.3,1,0.531,0.402,0.579,0.598,8,1.9,3.8,2.2,10.9,0.54,0.25,0.53,4.6,121.8,112.4
Torrey Craig,1678854 ,2,29.66,38.5,12.6,8.1,0.611,0.603,0.326,0.545,0.553,5.4,3.3,9.9,0.8,5.9,0.4,0.62,0.43,5.2,115,102.3
Trae Young,6571800 ,1,21.9,73.6,34.9,16.2,0.86,0.501,0.361,0.519,0.595,29.6,4.2,6.4,9.3,45.6,1.08,0.13,4.8,11.9,113.9,115.2
Trey Lyles,5500000 ,2,24.78,42,13.6,9.7,0.733,0.503,0.387,0.541,0.557,6.4,5.7,15.3,1.1,7.2,0.44,0.44,0.62,6.8,113.1,107
Tristan Thompson,9258000 ,3,29.43,62.9,18.3,14,0.615,0.519,0.391,0.521,0.541,12,10.1,18.6,2.1,10.5,0.56,0.88,1.81,8.4,111.1,109.5
Troy Brown Jr.,3372840 ,1,21.05,53.8,17.8,10.4,0.784,0.479,0.341,0.488,0.524,10.4,5.6,11.7,2.6,14.1,1.22,0.1,1.14,8.3,108.2,109.7
Ty Jerome,2303040 ,1,23.11,22,17.9,13,0.75,0.381,0.28,0.398,0.425,3.3,1.5,7.8,1.4,18.2,0.48,0.1,0.58,7.2,91.7,104.9
Tyler Herro,3822240 ,1,20.57,57.1,22.2,11.4,0.87,0.462,0.389,0.52,0.55,13.5,4.1,8.3,2.2,12.7,0.62,0.16,1.58,7.2,102.9,108.3
Tyus Jones,7965100 ,1,24.26,39.5,17.2,10.8,0.741,0.492,0.379,0.514,0.532,7.4,1.6,4.4,4.4,32,0.91,0.09,0.85,7.9,116.1,112.1
Udonis Haslem,2564753 ,2,40.18,23,13.7,7.3,0.75,0.375,0.333,0.409,0.47,3,4,20.3,0.3,3.1,0,0,0.25,5.6,96.9,94.9
Victor Oladipo,21000000 ,1,28.28,57.9,26.5,14.7,0.814,0.451,0.317,0.461,0.506,14.5,3.9,7.8,2.9,15.4,0.89,0.21,2.47,7.9,94.3,105.3
Vincent Poirier,2619207 ,3,26.8,12.3,15.4,17,0.857,0.471,0.5,0.486,0.525,1.9,2,17.7,0.4,8.5,0.09,0.41,0.36,7.8,106.2,88.7
Wendell Carter Jr.,5448840 ,3,21.33,60.8,16.4,14.9,0.737,0.564,0.207,0.542,0.59,11.3,9.4,17.7,1.2,6,0.77,0.84,1.67,6.9,114.9,99.1
Wesley Matthews,3623000 ,1,33.84,50.8,12.5,8.7,0.765,0.472,0.364,0.524,0.547,7.4,2.5,5,1.4,7.1,0.55,0.13,0.64,4.9,108.5,101.9
Will Barton,13920000 ,1,29.61,68.8,20.1,9.9,0.77,0.498,0.375,0.523,0.549,15.1,6.3,10.7,3.7,16,1.07,0.5,1.52,8.6,112.2,107.8
Zach Collins,5406255 ,2,22.74,54.9,12.5,16.4,0.75,0.51,0.368,0.522,0.538,7,6.3,12.5,1.5,7.2,0.45,0.45,1.27,6.1,109.8,105.8
Zach LaVine,19500000 ,1,25.43,72.4,31.7,13.3,0.802,0.496,0.38,0.526,0.568,25.5,4.8,7.7,4.2,21.7,1.45,0.47,3.43,9.2,106.9,108.4
Zhaire Smith,3204600 ,1,21.2,9.6,19.7,13.6,0.5,0.375,0,0.273,0.313,1.1,0.3,3.4,0.3,8.2,0.43,0,0.29,4,64.7,97.5
Zion Williamson,10245480 ,2,20.11,58,30.5,11.9,0.64,0.59,0.429,0.592,0.616,22.5,6.3,11.9,2.1,13.2,0.67,0.38,2.46,9.6,114.6,110.2
Zylan Cheatham,1445697 ,2,24.74,26.6,10.4,30.8,0,0.75,0,0.667,0.667,3,2.3,9.3,0.8,7.7,0.25,0.25,1,5.5,101.8,96.7
